,Reference Code,year,Sentence Output,Answer
99,S-0210,," ringo cheuk - project manager problem this arduous process delayed the delivery of actionable intelligence and could jeopardize the schedule of the upcoming construction project."" by using viact ’ s cutting - edge computer vision platform solution to detect and report on site activities concerned to workers safety in real time, the overall safety quality is ensured to provide a better working environment for the workers "" harry ng - site agent extremely costly to have manual real - time monitoring ( a ), or ( iv ) if customer provides any feedback to the company with respect to any beta releases or any other products and services of the company, customer agrees that such feedback shall be owned by the company without requirement of payment of any compensation to customer.","['construction project', 'computer vision platform solution', 'beta releases']"
100,S-0211,,"apping technology provides management services that our professionals will monitor it workstations for you.at apping technology, our team comes with the expertise in connecting businesses with technology solutions coupled with in - depth knowledge of product management and business analysis.","['apping technology provides management services', 'technology solutions']"
101,S-0213,,"you will be the bridge between business development and radar technology as it applies to large scale consumer electronic projects.a radar - based gesture recognition panel offers you the solution. in order to achieve the most comfortable user experience, we offer tailor - made services to match different hand gestures and functions for control panels.","['large scale consumer electronic projects', 'a radar - based gesture recognition panel', 'tailor - made']"
102,S-0219,,: create accounts and allow you to play our games and use our service verify and confirm payments ( if have any in - app purchase ) provide and deliver products and services you request update and develop player profiles develop and improve the service and player experience manage our relationship with you ,['products and services you request']
103,S-0220,," the augmented lidar box provides the fundamental features you need to use lidar in your project. we can help over the years, we ’ ve built transformative solutions such as the first automated forklifts and hyper - granular people & objects monitoring in airports & other venues, using the augmented lidar box.","['the augmented lidar box', 'transformative solutions such as the first automated forklifts']"
104,S-0221,,we assist schools and teachers with edtech solutions for english learning and other international subject courses and professional development. the ied english program is a core service that is meant to be used by partner schools in class using a blended learning model.,"['edtech solutions', 'ied english program']"
105,S-0222,2012,"but priority is given to projects offering solutions for wood recycling and recovery. as a website - based open innovation platform, we regularly receive personal data as part of our services.","['solutions for wood recycling and recovery', 'innovation platform']"
106,S-0223,1993,"the solutions mainly include enterprise fax server, business process management ( bpm / workflow ), document management ( dms ), customer relationship management ( crm ) and cti : ivrs & call center.the comparedocs product is delivered as an sdk ( software development kit ) for integration with other server or workstation - based software applications.","['enterprise fax server', 'comparedocs']"
107,S-0225,2016," interesting personal github projects and participations in renowned competitions ( e. g. kaggle, acm ) will be a bonus [UNK] experience in english or chinese natural language processing ( nlp ), machine learning and data visualization projects ( d3js ) interesting personal github projects and participations in renowned competitions ( e. g. kaggle, acm )the most comprehensive database tracking hk listcos market eye is a data terminal solution for monitoring hk capital market entities and corporate action events, supporting attribute - level comparison, event filter, download and entity search.","['machine learning and data visualization', 'market eye']"
108,S-0229,2013,"an open technical infrastructure offers you the greatest possible flexibility when implementing our watermarking solution. it can be used to trigger targeted orders in connection with tv ads, movies, documentaries, soaps, sports and music shows or in streaming and media library services.send individual product or further information via ultrasound directly to your customers'mobile devices.","['watermarking solution', 'streaming and media library', 'ultrasound']"
109,S-0231,," stemhub technology lies at the heart of our fast, scalable and easy to use platforms for building innovative solutions which extract value from unstructured narrative.",['extract value from unstructured narrative']
110,S-0234,,we provide tailor - made a. i. computer vision solution for statistic collection and analytic purposes,['computer vision']
111,S-0235,,we provide tailor - made a. i. computer vision solution for statistic collection and analytic purposes,['computer vision']
112,S-0237,2011,"authorization solutions for payments, transfers, and transactions contact us to find out more about our products, and how they can provide solutions to your specific needs.","['authorization solutions for payments, transfers, and transactions']"
113,S-0238,2003,"take your machine learning projects to production.we provide deployment services and seamless data migration for your email, contacts and calendar with zero downtime.","['machine learning', 'deployment services and seamless data migration']"
114,S-0239,, we will assist you to apply for the d - biz funding upon your approval you can apply for the d - biz progamme when you enhance your business through one or more of the following projects : 1. digital customer experience enhancement round - the - clock customer service support via chatbot uplift product or service experience with use of augmented reality ( ar ) / virtual reality ( vr ) or,"['d - biz progamme', 'chatbot']"
115,S-0240,," our ai voice solution creates and manages your intents and automatically generates alternative ways of asking across multiple languages using our proprietary ai solution. intelligence to improve purchase intent, customer service and brand experience voice | chatbots | building a voice assistant : map out the required spoken “ intents ” and information sources for your business and services to be provided in your local language. run your citybringing running into the store with adidasadidas were developing an in - store marquee innovations zone product called runlab where customers who try on running shoes of their choice can link them to the treadmill via a pair of bluetooth sensors.","['ai voice solution', 'voice | chatbots | building a voice assistant', 'runlab']"
116,S-0242,2003,"take your machine learning projects to production.we provide deployment services and seamless data migration for your email, contacts and calendar with zero downtime.","['machine learning', 'deployment services and seamless data migration']"
117,S-0245,," responsibilities - design, implement and test robust technical solutions - ensure the best possible performance, quality, and responsiveness of the applications - identify bottlenecks and bugs, and devise solutions to these problems - help maintain code quality, organization, and automatization - working in highly collaborative teams and building quality code - understanding the business domain deeply and working closely with business stakeholders responsibilities - design, implement and test robust technical solutions - ensure the best possible performance, quality, and responsiveness of the applications - identify bottlenecks and bugs, and devise solutions to these problems - help maintain code quality, organization, and automatization - working in highly collaborative teams and building quality code - understanding the business domain deeply and working closely with business stakeholders ",['devise solutions to these problems']
118,S-0252,1856,"+ prepare your teams with everbridge product and best practices everbridge university provides interactive training on fundamental product concepts, features, and best practices to prepare your team for confident use of everbridge with options ranging from online courses, to best practices documentation, to on - site training and live webinars, your team members can directly apply concepts to achieving your organization ’ s objectives in a manner that suits their needs.",['everbridge product and best practices everbridge university']
119,S-0253,1978," shorten your time to market, minimize overall cost and attaining superior quality through our extensive experience in product development, manufacturing knowhow, software and firmware development, as well as exceptional project and supply chain management.what we do provide customers with total solution from initial design to manufacturing.we offer original design, co - development and manufacturing services of specialized switch and sensor based components and modules with top - notch engineering support, rapid prototyping and efficient manufacturing with superior quality and much more.","['supply chain management', 'total solution from initial design to manufacturing', 'original design, co - development and manufacturing']"
120,S-0254,,"we ’ re your low - code solution for your next it project. we ’ re your low - code solution for your next it project. formx. ai is a service that transforms physical documents to digital structured data with ai technology.using cutting - edge technologies, we are an end - to - end digital product, web, and mobile app development consultancy whose creations have garnered millions of downloads and awards from the apple app store and asia smart apps awards.","['it project', 'low - code', 'formx. ai', 'digital']"
121,S-0256,2006," our vision "" business value focus with technology services as a business solutions integrator, we provide a full suite of quality professional services : best - of - market technology recommendation and implementation, especially in digital asset management, infrastructure consolidation and virtualization local procurement and global deployment services for multinational corporations total business intelligent solutions helping customers maximize their business profits and returns from their it investment security risk management ; ensuring security systemsour product – industrial data mart is the core component facilitating the capability of the business intelligence system.","['best - of - market technology recommendation and implementation', 'industrial data mart']"
122,S-0259,," according to the market hotspot and customer demands, the product designs and developments have obtained 192 software copyrights and 150 product registration certificates over the years ; through high - quality products and good services, we provide the financial customers with the application solutions and system construction needed for business development.",['application solutions']
123,S-0261,2012," code free soft ltd helps corporate clients expand their market and user community in the internet space through big data analytics, cloud computing services, and cross - platform mobile application projects.we offer a one - stop all - directional solution as a whole  code free soft ltd helps corporate clients expand their market and user community in the internet space through big data analytics, cloud computing services, and cross - platform mobile application projects.","['cross - platform mobile application', 'one - stop all - directional solution as a whole [SEP]', 'big data analytics']"
124,S-0263,,"the role : as a junior it business analyst in our team, you will support on our regulatory projects, work with multiple stakeholders and need to be able to convey needs, requirements, and solutions to different departments.xctest. must be familiar with restful apis to connect mobile applications to back - end services.as a full - stack blockchain engineer in our team, you will work on blockchain solution products that solve real - world problems for people using blockchain and other variety of technologies.","['regulatory projects', 'xctest', 'blockchain solution products']"
125,S-0264,,"over the years psl has become a leading systems integrator in the transport sector, providing a total solution for car park access control and management, as well as advanced speed enforcement systems and parking meter systems. with installations and services spanning the entire territory, psl has proven experience and knowledge network in the provision of transport management systems in hong kong.we are the leading supplier of solutions and products for off - street / on - street parking, traffic law enforcement, electronic toll collection, long range rfid / smartcard, electronic payment, license plate recognition and access control.","['car park access control and management', 'transport management systems', 'license plate recognition and access control']"
126,S-0265,1988,"we join hands with over 3, 000 strategic partners, such as ibm, microsoft, lenovo, atos to satisfy the individual needs of customers from different industries by offering comprehensive one - stop solutions.in the new era, we provide growing enterprises with cloud services that integrate “ marketing, manufacturing, procurement, finance, hr, oa and platform ” to support global business operations and socialized businesses, based on the native cloud architecture.","['one - stop solutions', 'cloud services']"
127,S-0267,2015,"we learn your needs, work for customized, total solution, and provide one - stop solution : consultation, design, sourcing, installation, project management and after - sales service.so we provide installation service and system customisation to suit customer ’ s needs one - stop service, including software update, remote system configuration and on - site / off - site maintenance services needs one - stop service, including software update, remote system configuration and on - site / off - site maintenance services from here we see that the smart home products maximise the home values which is beneficial for investments.","['one - stop solution', 'installation service and system customisation', 'smart home products']"
128,S-0271,2003,"we deliver professional erasure projects for organizations of individuals that require an east, fast & 100 % secure data disposition service for eliminating sensitive data from storage units. from initial consultation to ongoing support, more businesses and consumers choose dbtronix data recovery solutions and software in any data loss situation – from simple to the most complex and catastrophic.our services include : laptop / desktop recovery server recoveryour products provide federal government agencies with complete visibility and control over their sensitive data.","['professional erasure projects', 'dbtronix', 'laptop / desktop recovery server recovery', 'complete visibility and control over their sensitive data']"
129,S-0273,, talos is an appium & selenium based framework that provides blueprint for test automation projects.our team are fully experienced on providing the all - in - one automated testing solution. it be integrated with aws cloud service ( device farm )?,"['test automation projects', 'all - in - one automated testing solution', 'aws cloud service ( device farm']"
130,S-0279,,roomq roomq is a virtual waiting room solution for you to protect existing system against traffic crisis. redso ’ s new product we recently launched a new product called noq flash.,"['roomq roomq is a virtual waiting room solution', 'noq flash']"
131,S-0280,,our solutions emphasized on strong community collaboration will give an immediate boost to a brand new supply of parking spaces.,['strong community collaboration']
132,S-0281,1997," government & public safety public safety first responders such as ambulance service, fire service, law enforcement, rescue squad, emergency management and securities are mission critical operations that help protect and rescue the general public from danger.",['[SEP] government & public safety public safety first responders']
133,S-0282,2010,"by incorporating membership, e - ordering, news and communication hubs functions into a single platform, the revamp project of st. honore cake easy is designed to provide an utmost user experience and build loyalty with their online and offline members.this is why we encourage tokenization service to your estore.","['revamp project of st. honore cake easy', 'tokenization service']"
134,S-0283,2014," “ a project company is hard to scale up.teamnote, the mobile productivity solution allows your team to work anywhere ; also, to maintain business continuity in the new normal. but a product can scale up very fast.","['project company', 'mobile productivity solution', 'a product can scale up very fast']"
135,S-0286,," south instruments technology limited always putting efforts on industry informatization and the increasing value for gis applications, our service is fully covered the survey equipment, precise measurement system, data process project, gis system and smart city application, etc. established in hong kong, the south instruments technology limited ( hereafter as "" the company "" ) has been developed as a provider for gis solutions. south instruments technology limited always putting efforts on industry informatization and the increasing value for gis applications, our service is fully covered the survey equipment, precise measurement system, data process project, gis system and smart city application, etc.","['data process project', 'gis', 'survey equipment']"
136,S-0288,," when you use any parami software as a service, we store all the content you provide, including but not limited to accounts created for team members, files, pictures, project information, and any other information that you provide to the services you use.",['parami']
137,S-0289,,"we are also providing ai, blockchain and iot integration courses with the education solutions of dji education and 4paradigm our primary goal is to develop iomt total solution for health service providers to provide remote patients monitoring services in supporting hong kong ’ our primary goal is to develop iomt total solution for health service providers to provide remote patients monitoring services in supporting hong kong ’","['ai, blockchain and iot integration courses', 'remote patients monitoring']"
138,S-0296,1997,the antimicrobial susceptibility discs dispenser.,['antimicrobial susceptibility discs dispenser']
139,S-0299,2017,"include plc controller for automation systems strong programming skills in particular plc programming ( siemens, mitsubishi, preferred ) prepare project proposal, schedule and budget ln pays attention to the entire project implementation process and provides customers with "" one - stop "" solutions from initial design to product support training with long - term benefits of users in mind.our award winning solution : “ aiot - based autonomous mobile robot system for warehouse & service industry ”, redefines the business model of warehouse from labor - intensive to unmanned operations and contributes a higher operation efficiency. since different entities have their own specific needs, presently we help our customers solve this problem by provide providing both disinfection robots selling and / or disinfection services.","['customers with "" one - stop "" solutions', 'aiot - based autonomous mobile robot system for warehouse & service industry', 'disinfection robots selling and / or disinfection services']"
140,S-0300,2015,"/ c, python, linux, embedded system, ros, slam, pcb and circuit design, iot solution design and integration. we ’ re preparing children for the future of work robotics ambassador synchronized dance multi - language in auto switch can also be classified as industrial and have multiple uses from robots that weld parts on auto assembly lines to robots that interact with humans in the service industry.","['iot', 'robots that interact with humans']"
